state,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
IA,0.6466,0.6197,0.6782,0.4781,0.2139,0.6273,0.4703,0.1703,0.5782,0.4969,0.4246,0.1974,1,0.7987,0.4555,0.8215,0.7894,0.8015,0.527,0.4373,0.1968,0.7928,0.8147,0.8362,0.8244,0.4799,0.8482,0.7055,0.7886,0.7819,0.7487,0.2348,0.2306,0.3312,0.2284,0.8228,0.6533,0.7603,0.7847,0.5461,0.631,0.7907,0.7064,0.2476,0.5842,0.6329,0.6835,0.6681,0.8493,0.7689,0.7631
ID,0.6863,0.5761,0.6506,0.5063,0.2024,0.6349,0.3771,0.1678,0.4549,0.4465,0.3759,0.1906,0.7987,1,0.4025,0.7928,0.789,0.7686,0.479,0.3604,0.181,0.6758,0.726,0.77,0.7758,0.422,0.7748,0.6269,0.7888,0.7916,0.6441,0.2076,0.2129,0.3496,0.2128,0.7591,0.6884,0.7132,0.706,0.4843,0.5576,0.7728,0.6803,0.2593,0.6531,0.529,0.5537,0.6264,0.7638,0.7282,0.7698
IL,0.2246,0.1928,0.2199,0.5393,0.3331,0.5196,0.6519,0.1505,0.6165,0.5803,0.2239,0.1621,0.4555,0.4025,1,0.4116,0.3372,0.3395,0.2422,0.6583,0.3882,0.5019,0.5874,0.5494,0.4092,0.1785,0.3899,0.3053,0.3488,0.4495,0.5418,0.6027,0.2014,0.5541,0.642,0.551,0.1971,0.5352,0.6407,0.7188,0.2627,0.3247,0.2631,0.1975,0.4942,0.5285,0.4754,0.6372,0.5689,0.3111,0.2928
IN,0.6229,0.6998,0.7441,0.4491,0.2068,0.5769,0.3516,0.1664,0.5389,0.4993,0.5326,0.1955,0.8215,0.7928,0.4116,1,0.8099,0.8411,0.6228,0.3225,0.1857,0.6871,0.7974,0.7775,0.8463,0.5701,0.7798,0.7714,0.7765,0.7631,0.639,0.2082,0.21560000000000001,0.3327,0.2157,0.8178,0.7305,0.7126,0.7474,0.457,0.71,0.7738,0.7862,0.2418,0.5686,0.6089,0.5391,0.5864,0.7885,0.7832,0.7637
KS,0.6896,0.6554,0.7283,0.4209,0.2159,0.6512,0.3159,0.1745,0.4065,0.3956,0.4377,0.2024,0.7894,0.789,0.3372,0.8099,1,0.8255,0.5192,0.3146,0.1854,0.6437,0.7022,0.7687,0.809,0.497,0.7859,0.7116,0.7989,0.7527,0.6225,0.2047,0.2139,0.2506,0.2081,0.7364,0.7609,0.7063,0.6744,0.4094,0.626,0.7915,0.7675,0.2317,0.5827,0.5767,0.5223,0.5873,0.73,0.7646,0.7907
KY,0.6403,0.7456,0.7857,0.4,0.2148,0.5394,0.3089,0.1757,0.5033,0.476,0.5495,0.2002,0.8015,0.7686,0.3395,0.8411,0.8255,1,0.6416,0.2676,0.1869,0.6746,0.7631,0.7447,0.8451,0.6086,0.7861,0.8086,0.7774,0.7261,0.62,0.2007,0.211,0.2763,0.2057,0.7875,0.7683,0.6806,0.7112,0.3994,0.7474,0.7855,0.8229,0.2341,0.5018,0.5916,0.5271,0.5352,0.7536,0.8066,0.785
LA,0.2916,0.7686,0.6638,0.2183,0.2164,0.2087,0.2102,0.1637,0.5245,0.3821,0.8098,0.2124,0.527,0.479,0.2422,0.6228,0.5192,0.6416,1,0.204,0.2396,0.4216,0.6091,0.4421,0.6404,0.7801,0.4712,0.7533,0.5049,0.4549,0.3474,0.1969,0.1948,0.2228,0.2043,0.6099,0.5518,0.3369,0.503,0.2092,0.7962,0.4969,0.6833,0.2196,0.2914,0.5102,0.2964,0.2217,0.4985,0.5774,0.5059
MA,0.219,0.1946,0.1871,0.4982,0.3189,0.6111,0.7787,0.2252,0.5283,0.4812,0.2196,0.2126,0.4373,0.3604,0.6583,0.3225,0.3146,0.2676,0.204,1,0.4059,0.5574,0.5138,0.5695,0.3524,0.1943,0.4202,0.2308,0.3422,0.4238,0.6287,0.6872,0.225,0.4322,0.6358,0.4739,0.1837,0.5295,0.5975,0.7,0.2146,0.319,0.1988,0.1975,0.4706,0.5529,0.5936,0.6645,0.5491,0.2678,0.2857
MD,0.1918,0.1901,0.1804,0.1916,0.1894,0.2022,0.4169,0.568,0.4451,0.332,0.2901,0.1686,0.1968,0.181,0.3882,0.1857,0.1854,0.1869,0.2396,0.4059,1,0.2162,0.2623,0.2121,0.1872,0.1893,0.1922,0.2052,0.1897,0.1849,0.2411,0.49,0.1756,0.1883,0.529,0.2129,0.1826,0.1854,0.284,0.3175,0.2001,0.1845,0.1768,0.1724,0.2059,0.3858,0.2531,0.1959,0.2122,0.1837,0.1828
ME,0.5057,0.5217,0.5507,0.4675,0.2256,0.5812,0.6312,0.1618,0.655,0.6092,0.3205,0.2034,0.7928,0.6758,0.5019,0.6871,0.6437,0.6746,0.4216,0.5574,0.2162,1,0.7959,0.8005,0.7202,0.3704,0.8006,0.618,0.6666,0.6856,0.8463,0.3708,0.2307,0.35,0.3001,0.7736,0.4983,0.738,0.8109,0.6293,0.5595,0.6865,0.5814,0.2274,0.4568,0.6564,0.8008,0.6757,0.8421,0.6864,0.6601
MI,0.4845,0.6387,0.6439,0.4942,0.2315,0.5697,0.5686,0.1631,0.7353,0.6613,0.5258,0.2007,0.8147,0.726,0.5874,0.7974,0.7022,0.7631,0.6091,0.5138,0.2623,0.7959,1,0.8158,0.8117,0.5158,0.768,0.742,0.6991,0.7342,0.7619,0.3629,0.2248,0.4303,0.3561,0.8751,0.5753,0.7432,0.8682,0.6279,0.6942,0.697,0.6947,0.2383,0.544,0.7241,0.6772,0.6702,0.8625,0.733,0.6766
MN,0.5888,0.5385,0.6008,0.5048,0.2294,0.7368,0.5679,0.1656,0.5843,0.516,0.3514,0.2032,0.8362,0.77,0.5494,0.7775,0.7687,0.7447,0.4421,0.5695,0.2121,0.8005,0.8158,1,0.7936,0.3771,0.8137,0.6431,0.7593,0.7829,0.8053,0.348,0.2175,0.3543,0.3203,0.824,0.5932,0.8022,0.8274,0.6302,0.5532,0.7453,0.6532,0.2353,0.6457,0.7095,0.7177,0.752,0.8617,0.7044,0.7166
MO,0.5837,0.7218,0.7449,0.4165,0.2164,0.5802,0.3875,0.1619,0.5638,0.5107,0.5542,0.2009,0.8244,0.7758,0.4092,0.8463,0.809,0.8451,0.6404,0.3524,0.1872,0.7202,0.8117,0.7936,1,0.587,0.8004,0.7988,0.7735,0.7538,0.6743,0.2151,0.2151,0.2984,0.2204,0.8309,0.714,0.7079,0.7651,0.4626,0.7376,0.7694,0.7967,0.2385,0.535,0.6725,0.5789,0.5855,0.7977,0.791,0.7633
