year,state,pred,se,days_til_election,election_day,date,actual
2008,AK,0.3863686941192123,0.05249205963264395,0,2008-11-03,2008-11-03,0.389352151
2008,AL,0.4203478295350942,0.05420557529993109,0,2008-11-03,2008-11-03,0.391092224
2008,AR,0.49634801716385063,0.04899184170242226,0,2008-11-03,2008-11-03,0.398282794
2008,AZ,0.46026395855361146,0.04867822445870172,0,2008-11-03,2008-11-03,0.456860993
2008,CA,0.5969133035844397,0.049445745972890545,0,2008-11-03,2008-11-03,0.622784496
2008,CO,0.5132324275588004,0.052425116416418845,0,2008-11-03,2008-11-03,0.545506077
2008,CT,0.6043266191713498,0.05337263307912928,0,2008-11-03,2008-11-03,0.613183382
2008,DC,0.9480043195788405,0.0649663312328316,0,2008-11-03,2008-11-03,0.9340337407818972
2008,DE,0.6002666183340067,0.05235559197961397,0,2008-11-03,2008-11-03,0.626381386
2008,FL,0.5230394960442475,0.04596501552139523,0,2008-11-03,2008-11-03,0.51419403
2008,GA,0.4615906341692724,0.049330426214912376,0,2008-11-03,2008-11-03,0.473721146
2008,HI,0.5959530742505035,0.051903205920625674,0,2008-11-03,2008-11-03,0.729937259
2008,IA,0.5404803570417691,0.04962688322628495,0,2008-11-03,2008-11-03,0.548487778
2008,ID,0.34551645106386714,0.058428745816490706,0,2008-11-03,2008-11-03,0.369754102
2008,IL,0.6285423241074894,0.05219316949571315,0,2008-11-03,2008-11-03,0.627360032
2008,IN,0.4426523910235495,0.05026360511405695,0,2008-11-03,2008-11-03,0.505222254
2008,KS,0.416296164653433,0.053085387123843863,0,2008-11-03,2008-11-03,0.423885216
2008,KY,0.44636791093728345,0.049998866911628664,0,2008-11-03,2008-11-03,0.417665724
2008,LA,0.47413934583242334,0.051726256840943355,0,2008-11-03,2008-11-03,0.405427951
2008,MA,0.6572000342074883,0.0557631955190056,0,2008-11-03,2008-11-03,0.631970904
2008,MD,0.6119454186625221,0.055557894488678636,0,2008-11-03,2008-11-03,0.629272621
2008,ME,0.5883718231017362,0.05221422862967342,0,2008-11-03,2008-11-03,0.58829525
2008,MI,0.5619144308101137,0.04884657205791359,0,2008-11-03,2008-11-03,0.58371371
2008,MN,0.5619612384229574,0.05033129244808424,0,2008-11-03,2008-11-03,0.55229375
2008,MO,0.511172360837445,0.04993306147655078,0,2008-11-03,2008-11-03,0.499324889
2008,MS,0.44236733919467675,0.05320054596865114,0,2008-11-03,2008-11-03,0.433580247
2008,MT,0.4319011078163468,0.05406078728364544,0,2008-11-03,2008-11-03,0.488305967
2008,NC,0.47837950219637443,0.04828354817371779,0,2008-11-03,2008-11-03,0.501661153
2008,ND,0.40156277449926514,0.0528272399651125,0,2008-11-03,2008-11-03,0.455913437
2008,NE,0.3760248343509089,0.05228703155527191,0,2008-11-03,2008-11-03,0.423909256
2008,NH,0.5472682478080407,0.049713238171425825,0,2008-11-03,2008-11-03,0.548685411
2008,NJ,0.5856516881792283,0.05114336222884561,0,2008-11-03,2008-11-03,0.578511999
2008,NM,0.5368547586622936,0.04866219299958282,0,2008-11-03,2008-11-03,0.576649
2008,NV,0.5277032148575077,0.04839743258947562,0,2008-11-03,2008-11-03,0.563875381
2008,NY,0.6440362934787602,0.053437773975240035,0,2008-11-03,2008-11-03,0.635763632
2008,OH,0.5316514677431565,0.04696560837575406,0,2008-11-03,2008-11-03,0.523292282
2008,OK,0.39422835490214725,0.05675596496479714,0,2008-11-03,2008-11-03,0.343548056
2008,OR,0.5605482259687007,0.04971224269011812,0,2008-11-03,2008-11-03,0.584137212
2008,PA,0.5572038153650144,0.05004251801095151,0,2008-11-03,2008-11-03,0.552293142
2008,RI,0.6597600195862354,0.05663032115746103,0,2008-11-03,2008-11-03,0.64197921
